publication_year,number_of_new_authors,total_unique_authors,share_of_authors_who_are_new,unique_papers_with_new_author,total_unique_papers,share_of_papers_with_new_author
1950,26,26,1.0,24,24,1.0
1951,28,33,0.848485,25,30,0.833333
1952,44,50,0.88,37,42,0.880952
1953,35,50,0.7,29,39,0.74359
1954,46,53,0.867925,34,40,0.85
1955,37,48,0.770833,31,39,0.794872
1956,29,44,0.659091,27,38,0.710526
1957,30,43,0.697674,30,42,0.714286
1958,38,57,0.666667,33,47,0.702128
1959,36,53,0.679245,30,47,0.638298
1960,43,64,0.671875,37,57,0.649123
1961,31,46,0.673913,29,40,0.725
1962,37,56,0.660714,32,46,0.695652
1963,42,65,0.646154,38,60,0.633333
1964,31,51,0.607843,27,47,0.574468
1965,41,64,0.640625,32,53,0.603774
1966,56,77,0.727273,49,64,0.765625
1967,35,51,0.686275,31,44,0.704545
1968,36,63,0.571429,29,44,0.659091
1969,45,61,0.737705,40,50,0.8
1970,40,63,0.634921,38,60,0.633333
1971,52,78,0.666667,44,60,0.733333
1972,41,77,0.532468,37,60,0.616667
1973,34,54,0.62963,32,48,0.666667
1974,40,61,0.655738,34,54,0.62963
1975,55,73,0.753425,49,61,0.803279
1976,51,77,0.662338,48,68,0.705882
1977,46,71,0.647887,40,58,0.689655
1978,47,71,0.661972,37,57,0.649123
1979,36,67,0.537313,32,59,0.542373
1980,81,115,0.704348,67,88,0.761364
1981,42,70,0.6,36,57,0.631579
1982,60,95,0.631579,54,75,0.72
1983,69,104,0.663462,49,68,0.720588
1984,34,63,0.539683,26,42,0.619048
1985,57,92,0.619565,49,74,0.662162
1986,49,89,0.550562,44,65,0.676923
1987,40,77,0.519481,36,56,0.642857
1988,41,77,0.532468,35,55,0.636364
1989,46,93,0.494624,37,64,0.578125
1990,55,93,0.591398,41,67,0.61194
1991,69,117,0.589744,53,73,0.726027
1992,51,98,0.520408,31,57,0.54386
1993,40,94,0.425532,35,55,0.636364
1994,40,81,0.493827,26,44,0.590909
1995,29,51,0.568627,22,32,0.6875
1996,37,71,0.521127,29,44,0.659091
1997,35,54,0.648148,25,32,0.78125
1998,37,59,0.627119,30,36,0.833333
1999,49,89,0.550562,35,52,0.673077
2000,54,123,0.439024,40,74,0.540541
2001,59,104,0.567308,35,57,0.614035
2002,67,141,0.475177,50,83,0.60241
2003,65,136,0.477941,51,69,0.73913
2004,47,108,0.435185,37,62,0.596774
2005,46,99,0.464646,33,55,0.6
2006,53,110,0.481818,34,60,0.566667
2007,60,122,0.491803,42,69,0.608696
2008,69,133,0.518797,53,70,0.757143
2009,62,146,0.424658,44,76,0.578947
2010,68,122,0.557377,42,64,0.65625
2011,99,168,0.589286,62,86,0.72093
2012,107,204,0.52451,67,106,0.632075
2013,75,170,0.441176,48,80,0.6
2014,83,177,0.468927,49,79,0.620253
2015,92,179,0.513966,58,88,0.659091
2016,104,233,0.446352,65,109,0.59633
2017,113,248,0.455645,71,111,0.63964
2018,105,221,0.475113,69,96,0.71875
2019,97,201,0.482587,62,87,0.712644
2020,102,227,0.449339,62,94,0.659574
2021,112,247,0.453441,72,105,0.685714
2022,91,228,0.399123,56,90,0.622222
2023,118,244,0.483607,72,103,0.699029
2024,125,261,0.478927,72,101,0.712871
2025,104,220,0.472727,60,86,0.697674
2026,42,122,0.344262,28,42,0.666667
