jel_field,field_name,total_unique_authors_1995_2000,new_authors_1995_2000,new_author_share_1995_2000,total_unique_authors_2020_2025,new_authors_2020_2025,new_author_share_2020_2025,change_percentage_points,recent_share_rank
H,Public economics,214,180,0.8411214953271028,887,657,0.7406989853438557,-10.04225099832471,1
I,"Health, education, and welfare",125,116,0.928,892,649,0.7275784753363229,-20.042152466367714,2
L,Industrial organization,180,136,0.7555555555555555,869,606,0.6973532796317606,-5.82022759237949,3
G,Financial economics,227,179,0.788546255506608,895,623,0.6960893854748603,-9.245687003174762,4
O,Development and growth,225,194,0.8622222222222222,957,664,0.6938349007314525,-16.838732149076975,5
F,International economics,147,113,0.7687074829931972,477,322,0.6750524109014675,-9.365507209172975,6
J,Labor economics,404,309,0.7648514851485149,1319,890,0.6747536012130402,-9.009788393547469,7
C,Quantitative methods,404,244,0.6039603960396039,1156,749,0.6479238754325259,4.3963479392922,8
E,Macroeconomics,384,241,0.6276041666666666,1059,652,0.615675165250236,-1.1929001416430607,9
D,Microeconomics,591,382,0.6463620981387479,2199,1295,0.5889040472942246,-5.745805084452327,10
