jel_field,field_name,period,period_start_year,period_end_year,total_new_authors,experienced_coauthor_count,newcomer_coauthors_only_count,solo_authored_count,experienced_coauthor_share,newcomer_coauthors_only_share,solo_authored_share
C,Quantitative methods,1995-2000,1995,2000,244,119,78,47,0.48770491803278687,0.319672131147541,0.19262295081967212
C,Quantitative methods,2020-2025,2020,2025,749,416,285,48,0.5554072096128171,0.38050734312416556,0.06408544726301736
D,Microeconomics,1995-2000,1995,2000,382,136,161,85,0.35602094240837695,0.4214659685863874,0.22251308900523561
D,Microeconomics,2020-2025,2020,2025,1295,844,351,100,0.6517374517374518,0.27104247104247103,0.07722007722007722
E,Macroeconomics,1995-2000,1995,2000,241,82,101,58,0.34024896265560167,0.4190871369294606,0.24066390041493776
E,Macroeconomics,2020-2025,2020,2025,652,405,209,38,0.6211656441717791,0.3205521472392638,0.05828220858895705
F,International economics,1995-2000,1995,2000,113,20,70,23,0.17699115044247787,0.6194690265486725,0.20353982300884957
F,International economics,2020-2025,2020,2025,322,156,147,19,0.484472049689441,0.45652173913043476,0.059006211180124224
G,Financial economics,1995-2000,1995,2000,179,39,104,36,0.21787709497206703,0.5810055865921788,0.2011173184357542
G,Financial economics,2020-2025,2020,2025,623,304,283,36,0.48796147672552165,0.45425361155698235,0.05778491171749599
H,Public economics,1995-2000,1995,2000,180,28,114,38,0.15555555555555556,0.6333333333333333,0.2111111111111111
H,Public economics,2020-2025,2020,2025,657,338,270,49,0.5144596651445966,0.410958904109589,0.0745814307458143
I,"Health, education, and welfare",1995-2000,1995,2000,116,18,68,30,0.15517241379310345,0.5862068965517241,0.25862068965517243
I,"Health, education, and welfare",2020-2025,2020,2025,649,361,248,40,0.5562403697996918,0.38212634822804314,0.061633281972265024
J,Labor economics,1995-2000,1995,2000,309,96,139,74,0.3106796116504854,0.44983818770226536,0.23948220064724918
J,Labor economics,2020-2025,2020,2025,890,569,270,51,0.6393258426966292,0.30337078651685395,0.05730337078651685
L,Industrial organization,1995-2000,1995,2000,136,33,78,25,0.2426470588235294,0.5735294117647058,0.18382352941176472
L,Industrial organization,2020-2025,2020,2025,606,326,224,56,0.5379537953795379,0.3696369636963696,0.0924092409240924
O,Development and growth,1995-2000,1995,2000,194,45,107,42,0.23195876288659795,0.5515463917525774,0.21649484536082475
O,Development and growth,2020-2025,2020,2025,664,374,245,45,0.5632530120481928,0.3689759036144578,0.0677710843373494
