jel_field,field_name,entry_period,entry_period_start_year,entry_period_end_year,total_entry_cohort_authors,authors_with_observed_second_publication,share_with_observed_second_publication,average_gap_years,median_gap_years,share_same_year
C,Quantitative methods,1995-2000,1995,2000,244,107,0.4385245901639344,7.345794392523365,6.0,0.018691588785046728
C,Quantitative methods,2010-2015,2010,2015,560,208,0.37142857142857144,4.509615384615385,4.0,0.07211538461538461
D,Microeconomics,1995-2000,1995,2000,382,206,0.5392670157068062,6.713592233009709,5.0,0.06310679611650485
D,Microeconomics,2010-2015,2010,2015,1156,473,0.4091695501730104,4.086680761099366,3.0,0.09090909090909091
E,Macroeconomics,1995-2000,1995,2000,241,104,0.4315352697095436,5.9326923076923075,5.0,0.0673076923076923
E,Macroeconomics,2010-2015,2010,2015,524,193,0.3683206106870229,4.046632124352332,3.0,0.11917098445595854
F,International economics,1995-2000,1995,2000,113,39,0.34513274336283184,5.17948717948718,3.0,0.02564102564102564
F,International economics,2010-2015,2010,2015,290,91,0.3137931034482759,4.670329670329671,3.0,0.08791208791208792
G,Financial economics,1995-2000,1995,2000,179,67,0.3743016759776536,6.970149253731344,4.0,0.029850746268656716
G,Financial economics,2010-2015,2010,2015,574,182,0.3170731707317073,4.8791208791208796,4.0,0.07142857142857142
H,Public economics,1995-2000,1995,2000,180,84,0.4666666666666667,6.440476190476191,4.5,0.10714285714285714
H,Public economics,2010-2015,2010,2015,486,158,0.32510288065843623,4.208860759493671,3.5,0.08860759493670886
I,"Health, education, and welfare",1995-2000,1995,2000,116,47,0.4051724137931034,6.297872340425532,5.0,0.0425531914893617
I,"Health, education, and welfare",2010-2015,2010,2015,441,163,0.36961451247165533,3.588957055214724,3.0,0.09202453987730061
J,Labor economics,1995-2000,1995,2000,309,128,0.41423948220064727,6.84375,5.0,0.0625
J,Labor economics,2010-2015,2010,2015,711,249,0.350210970464135,4.208835341365462,3.0,0.0963855421686747
L,Industrial organization,1995-2000,1995,2000,136,59,0.4338235294117647,8.0,6.0,0.1016949152542373
L,Industrial organization,2010-2015,2010,2015,540,183,0.3388888888888889,4.360655737704918,4.0,0.09836065573770492
O,Development and growth,1995-2000,1995,2000,194,78,0.4020618556701031,6.666666666666667,4.0,0.05128205128205128
O,Development and growth,2010-2015,2010,2015,497,185,0.3722334004024145,4.216216216216216,3.0,0.11351351351351352
