first_top5_publication_year,only_with_other_new_coauthors,solo,with_experienced_coauthor,total_new_authors,share_with_experienced_coauthor,share_only_with_other_new_coauthors,share_solo
1950,0,12,0,12,0.0,0.0,1.0
1951,2,8,0,10,0.0,0.2,0.8
1952,2,10,2,14,0.142857,0.142857,0.714286
1953,4,6,0,10,0.0,0.4,0.6
1954,6,10,0,16,0.0,0.375,0.625
1955,0,14,0,14,0.0,0.0,1.0
1956,9,9,1,19,0.052632,0.473684,0.473684
1957,2,9,0,11,0.0,0.181818,0.818182
1958,8,10,0,18,0.0,0.444444,0.555556
1959,6,8,0,14,0.0,0.428571,0.571429
1960,2,9,2,13,0.153846,0.153846,0.692308
1961,6,20,0,26,0.0,0.230769,0.769231
1962,8,8,2,18,0.111111,0.444444,0.444444
1963,2,5,1,8,0.125,0.25,0.625
1964,4,9,0,13,0.0,0.307692,0.692308
1965,2,9,0,11,0.0,0.181818,0.818182
1966,12,3,4,19,0.210526,0.631579,0.157895
1967,8,9,5,22,0.227273,0.363636,0.409091
1968,3,9,7,19,0.368421,0.157895,0.473684
1969,0,6,0,6,0.0,0.0,1.0
1970,7,6,0,13,0.0,0.538462,0.461538
1971,9,8,1,18,0.055556,0.5,0.444444
1972,6,6,1,13,0.076923,0.461538,0.461538
1973,0,12,0,12,0.0,0.0,1.0
1974,8,4,0,12,0.0,0.666667,0.333333
1975,4,7,0,11,0.0,0.363636,0.636364
1976,6,9,0,15,0.0,0.4,0.6
1977,7,12,2,21,0.095238,0.333333,0.571429
1978,4,2,3,9,0.333333,0.444444,0.222222
1979,7,5,0,12,0.0,0.583333,0.416667
1980,4,15,3,22,0.136364,0.181818,0.681818
1981,8,8,3,19,0.157895,0.421053,0.421053
1982,4,7,2,13,0.153846,0.307692,0.538462
1983,12,8,3,23,0.130435,0.521739,0.347826
1984,6,7,6,19,0.315789,0.315789,0.368421
1985,15,5,5,25,0.2,0.6,0.2
1986,10,8,5,23,0.217391,0.434783,0.347826
1987,11,5,1,17,0.058824,0.647059,0.294118
1988,12,7,4,23,0.173913,0.521739,0.304348
1989,6,5,5,16,0.3125,0.375,0.3125
1990,8,3,4,15,0.266667,0.533333,0.2
1991,6,6,4,16,0.25,0.375,0.375
1992,13,4,2,19,0.105263,0.684211,0.210526
1993,11,4,0,15,0.0,0.733333,0.266667
1994,21,2,7,30,0.233333,0.7,0.066667
1995,9,0,6,15,0.4,0.6,0.0
1996,2,1,6,9,0.666667,0.222222,0.111111
1997,8,3,4,15,0.266667,0.533333,0.2
1998,11,3,0,14,0.0,0.785714,0.214286
1999,26,7,13,46,0.282609,0.565217,0.152174
2000,22,11,4,37,0.108108,0.594595,0.297297
2001,50,5,10,65,0.153846,0.769231,0.076923
2002,36,11,11,58,0.189655,0.62069,0.189655
2003,30,5,9,44,0.204545,0.681818,0.113636
2004,36,7,7,50,0.14,0.72,0.14
2005,34,4,12,50,0.24,0.68,0.08
2006,52,6,14,72,0.194444,0.722222,0.083333
2007,25,6,13,44,0.295455,0.568182,0.136364
2008,23,8,19,50,0.38,0.46,0.16
2009,31,7,14,52,0.269231,0.596154,0.134615
2010,47,11,20,78,0.25641,0.602564,0.141026
2011,59,14,27,100,0.27,0.59,0.14
2012,50,8,42,100,0.42,0.5,0.08
2013,31,11,24,66,0.363636,0.469697,0.166667
2014,35,13,49,97,0.505155,0.360825,0.134021
2015,42,6,51,99,0.515152,0.424242,0.060606
2016,41,7,48,96,0.5,0.427083,0.072917
2017,58,6,37,101,0.366337,0.574257,0.059406
2018,33,11,51,95,0.536842,0.347368,0.115789
2019,46,7,38,91,0.417582,0.505495,0.076923
2020,28,9,53,90,0.588889,0.311111,0.1
2021,22,6,46,74,0.621622,0.297297,0.081081
2022,44,11,54,109,0.495413,0.40367,0.100917
2023,40,8,63,111,0.567568,0.36036,0.072072
2024,42,9,48,99,0.484848,0.424242,0.090909
2025,48,13,62,123,0.504065,0.390244,0.105691
2026,34,6,24,64,0.375,0.53125,0.09375
