from_publication_number,to_publication_number,publication_transition,previous_publication_year,number_of_authors,average_gap_years,median_gap_years,share_same_year
1,2,1 to 2,1950,134,3.313433,2.0,0.19403
1,2,1 to 2,1951,91,2.593407,1.0,0.164835
1,2,1 to 2,1952,122,4.42623,2.0,0.180328
1,2,1 to 2,1953,72,4.069444,2.0,0.125
1,2,1 to 2,1954,84,4.154762,3.0,0.071429
1,2,1 to 2,1955,74,3.878378,3.0,0.135135
1,2,1 to 2,1956,73,3.616438,3.0,0.191781
1,2,1 to 2,1957,50,6.04,3.0,0.06
1,2,1 to 2,1958,53,5.339623,3.0,0.056604
1,2,1 to 2,1959,67,5.059701,3.0,0.119403
1,2,1 to 2,1960,60,3.6,2.0,0.116667
1,2,1 to 2,1961,65,4.430769,3.0,0.092308
1,2,1 to 2,1962,75,6.133333,3.0,0.08
1,2,1 to 2,1963,63,3.650794,3.0,0.142857
1,2,1 to 2,1964,56,5.642857,2.0,0.142857
1,2,1 to 2,1965,51,4.607843,3.0,0.098039
1,2,1 to 2,1966,75,4.093333,2.0,0.106667
1,2,1 to 2,1967,63,5.190476,2.0,0.079365
1,2,1 to 2,1968,59,4.372881,2.0,0.050847
1,2,1 to 2,1969,60,5.3,2.0,0.116667
1,2,1 to 2,1970,75,3.96,2.0,0.186667
1,2,1 to 2,1971,68,5.779412,3.0,0.073529
1,2,1 to 2,1972,83,4.349398,2.0,0.156627
1,2,1 to 2,1973,78,6.5,4.0,0.038462
1,2,1 to 2,1974,66,3.954545,3.0,0.090909
1,2,1 to 2,1975,87,4.494253,3.0,0.091954
1,2,1 to 2,1976,78,6.333333,3.0,0.102564
1,2,1 to 2,1977,76,5.328947,3.0,0.105263
1,2,1 to 2,1978,84,4.52381,3.0,0.107143
1,2,1 to 2,1979,77,3.792208,2.0,0.12987
1,2,1 to 2,1980,97,5.494845,3.0,0.195876
1,2,1 to 2,1981,62,4.919355,2.5,0.16129
1,2,1 to 2,1982,70,6.471429,3.0,0.071429
1,2,1 to 2,1983,64,6.4375,5.0,0.078125
1,2,1 to 2,1984,68,5.632353,3.0,0.132353
1,2,1 to 2,1985,86,5.837209,3.0,0.104651
1,2,1 to 2,1986,58,6.258621,3.0,0.155172
1,2,1 to 2,1987,64,6.109375,3.0,0.171875
1,2,1 to 2,1988,66,5.424242,3.0,0.106061
1,2,1 to 2,1989,49,5.44898,3.0,0.040816
1,2,1 to 2,1990,67,6.208955,4.0,0.089552
1,2,1 to 2,1991,83,6.012048,3.0,0.048193
1,2,1 to 2,1992,67,6.791045,4.0,0.089552
1,2,1 to 2,1993,58,6.706897,4.0,0.12069
1,2,1 to 2,1994,69,5.594203,4.0,0.086957
1,2,1 to 2,1995,59,6.135593,5.0,0.118644
1,2,1 to 2,1996,58,5.482759,4.0,0.068966
1,2,1 to 2,1997,73,4.739726,4.0,0.013699
1,2,1 to 2,1998,62,4.725806,4.0,0.048387
1,2,1 to 2,1999,119,4.773109,3.0,0.10084
1,2,1 to 2,2000,127,5.543307,3.0,0.102362
1,2,1 to 2,2001,115,4.756522,3.0,0.069565
1,2,1 to 2,2002,133,4.721805,3.0,0.06015
1,2,1 to 2,2003,135,4.851852,4.0,0.044444
1,2,1 to 2,2004,134,5.141791,4.0,0.074627
1,2,1 to 2,2005,107,4.299065,3.0,0.093458
1,2,1 to 2,2006,101,4.831683,4.0,0.089109
1,2,1 to 2,2007,106,3.990566,3.0,0.113208
1,2,1 to 2,2008,135,4.540741,3.0,0.051852
1,2,1 to 2,2009,145,4.296552,3.0,0.055172
1,2,1 to 2,2010,138,4.304348,3.0,0.130435
1,2,1 to 2,2011,154,4.201299,4.0,0.084416
1,2,1 to 2,2012,170,3.929412,3.0,0.111765
1,2,1 to 2,2013,143,3.755245,3.0,0.090909
1,2,1 to 2,2014,135,3.985185,3.0,0.103704
1,2,1 to 2,2015,153,3.215686,3.0,0.143791
1,2,1 to 2,2016,146,3.493151,3.0,0.09589
1,2,1 to 2,2017,164,3.268293,3.0,0.134146
1,2,1 to 2,2018,121,3.305785,3.0,0.099174
1,2,1 to 2,2019,109,2.981651,3.0,0.073394
1,2,1 to 2,2020,124,2.532258,2.0,0.096774
1,2,1 to 2,2021,114,2.482456,2.0,0.087719
1,2,1 to 2,2022,98,1.959184,2.0,0.173469
1,2,1 to 2,2023,84,1.571429,2.0,0.142857
1,2,1 to 2,2024,46,1.108696,1.0,0.130435
1,2,1 to 2,2025,24,0.5,0.5,0.5
1,2,1 to 2,2026,6,0.0,0.0,1.0
