entry_cohort_year,repeat_publication_window_years,observation_start_year,observation_end_year,available_followup_years,complete_followup_window,number_of_entry_authors,authors_with_second_publication_within_window,authors_with_observed_second_after_window,authors_with_no_observed_second_publication,authors_without_second_publication_within_window,probability_second_publication_within_window
1950,5,1950,2026,76,1,178,111,23,44,67,0.623596
1951,5,1950,2026,75,1,133,79,12,42,54,0.593985
1952,5,1950,2026,74,1,183,97,25,61,86,0.530055
1953,5,1950,2026,73,1,134,54,18,62,80,0.402985
1954,5,1950,2026,72,1,165,64,20,81,101,0.387879
1955,5,1950,2026,71,1,142,57,17,68,85,0.401408
1956,5,1950,2026,70,1,142,59,14,69,83,0.415493
1957,5,1950,2026,69,1,132,34,16,82,98,0.257576
1958,5,1950,2026,68,1,120,38,15,67,82,0.316667
1959,5,1950,2026,67,1,170,47,20,103,123,0.276471
1960,5,1950,2026,66,1,132,46,14,72,86,0.348485
1961,5,1950,2026,65,1,155,47,18,90,108,0.303226
1962,5,1950,2026,64,1,163,52,23,88,111,0.319018
1963,5,1950,2026,63,1,120,48,15,57,72,0.4
1964,5,1950,2026,62,1,151,37,19,95,114,0.245033
1965,5,1950,2026,61,1,135,35,16,84,100,0.259259
1966,5,1950,2026,60,1,181,59,16,106,122,0.325967
1967,5,1950,2026,59,1,137,48,15,74,89,0.350365
1968,5,1950,2026,58,1,147,50,9,88,97,0.340136
1969,5,1950,2026,57,1,150,45,15,90,105,0.3
1970,5,1950,2026,56,1,185,55,20,110,130,0.297297
1971,5,1950,2026,55,1,179,47,21,111,132,0.26257
1972,5,1950,2026,54,1,223,67,16,140,156,0.300448
1973,5,1950,2026,53,1,158,55,23,80,103,0.348101
1974,5,1950,2026,52,1,152,53,13,86,99,0.348684
1975,5,1950,2026,51,1,163,69,18,76,94,0.423313
1976,5,1950,2026,50,1,165,56,22,87,109,0.339394
1977,5,1950,2026,49,1,177,60,16,101,117,0.338983
1978,5,1950,2026,48,1,161,65,19,77,96,0.403727
1979,5,1950,2026,47,1,143,63,14,66,80,0.440559
1980,5,1950,2026,46,1,209,71,26,112,138,0.339713
1981,5,1950,2026,45,1,136,43,19,74,93,0.316176
1982,5,1950,2026,44,1,133,45,25,63,88,0.338346
1983,5,1950,2026,43,1,145,38,26,81,107,0.262069
1984,5,1950,2026,42,1,138,48,20,70,90,0.347826
1985,5,1950,2026,41,1,163,62,24,77,101,0.380368
1986,5,1950,2026,40,1,125,41,17,67,84,0.328
1987,5,1950,2026,39,1,122,42,22,58,80,0.344262
1988,5,1950,2026,38,1,121,43,23,55,78,0.355372
1989,5,1950,2026,37,1,99,35,14,50,64,0.353535
1990,5,1950,2026,36,1,133,37,30,66,96,0.278195
1991,5,1950,2026,35,1,148,53,30,65,95,0.358108
1992,5,1950,2026,34,1,127,38,29,60,89,0.299213
1993,5,1950,2026,33,1,111,32,26,53,79,0.288288
1994,5,1950,2026,32,1,115,41,28,46,74,0.356522
1995,5,1950,2026,31,1,92,34,25,33,58,0.369565
1996,5,1950,2026,30,1,119,37,21,61,82,0.310924
1997,5,1950,2026,29,1,128,52,21,55,76,0.40625
1998,5,1950,2026,28,1,113,47,15,51,66,0.415929
1999,5,1950,2026,27,1,248,86,33,129,162,0.346774
2000,5,1950,2026,26,1,222,82,45,95,140,0.369369
2001,5,1950,2026,25,1,242,84,31,127,158,0.347107
2002,5,1950,2026,24,1,255,96,37,122,159,0.376471
2003,5,1950,2026,23,1,261,95,40,126,166,0.363985
2004,5,1950,2026,22,1,258,87,47,124,171,0.337209
2005,5,1950,2026,21,1,236,78,29,129,158,0.330508
2006,5,1950,2026,20,1,231,67,34,130,164,0.290043
2007,5,1950,2026,19,1,212,76,30,106,136,0.358491
2008,5,1950,2026,18,1,258,96,39,123,162,0.372093
2009,5,1950,2026,17,1,260,104,41,115,156,0.4
2010,5,1950,2026,16,1,294,95,43,156,199,0.323129
2011,5,1950,2026,15,1,349,110,44,195,239,0.315186
2012,5,1950,2026,14,1,369,130,40,199,239,0.352304
2013,5,1950,2026,13,1,294,108,35,151,186,0.367347
2014,5,1950,2026,12,1,313,93,42,178,220,0.297125
2015,5,1950,2026,11,1,323,125,28,170,198,0.386997
2016,5,1950,2026,10,1,368,116,30,222,252,0.315217
2017,5,1950,2026,9,1,423,132,32,259,291,0.312057
2018,5,1950,2026,8,1,294,93,28,173,201,0.316327
2019,5,1950,2026,7,1,282,91,18,173,191,0.322695
2020,5,1950,2026,6,1,343,120,4,219,223,0.349854
2021,5,1950,2026,5,1,357,114,0,243,243,0.319328
